Species;Date;Replica;Treatment ;Leaf_number;EC;RH;Stem_length;Root_Length;Fresh_weight;Dry_weight;Temperature;;
Triticum;201106;TA4.4;Drought;3;"1,33";"24,6";"27,2";NA;NA;NA;"19,7";;
Triticum;201106;TA4.5;Drought;4;"1,7";"57,1";28;NA;NA;NA;"19,6";;
Triticum;201106;TA4.6;Drought;4;"1,58";"48,8";26;NA;NA;NA;"19,7";;
Triticum;201111;TA1.1;Drought;NA;"1,44";"11,8";NA;NA;NA;NA;"22,4";;
Triticum;201111;TA1.2;Drought;NA;"1,51";"33,8";NA;NA;NA;NA;"22,3";;
Triticum;201111;TA1.3;Drought;NA;"1,42";"27,6";NA;NA;NA;NA;22;;
Triticum;201111;TA1.4;Drought;NA;;7;NA;NA;NA;NA;22;;
Triticum;201111;TA1.5;Drought;NA;"1,5";"30,6";NA;NA;NA;NA;"22,4";;
Triticum;201111;TA1.6;Drought;NA;"1,52";"24,7";NA;NA;NA;NA;"22,2";;
Triticum;201118;TA2.1;Drought;3;NA;"6,5";"30,4";NA;NA;NA;"22,9";;
Triticum;201118;TA2.2;Drought;5;NA;"14,9";"36,5";NA;NA;NA;"23,3";;
Triticum;201118;TA2.3;Drought;5;NA;"11,4";"36,6";NA;NA;NA;"23,2";;
Triticum;201118;TA2.4;Drought;3;NA;"6,8";"30,4";NA;NA;NA;"23,2";;
Triticum;201118;TA2.5;Drought;4;NA;"13,1";37;NA;NA;NA;"23,4";;
Triticum;201118;TA2.6;Drought;4;NA;"10,8";34;NA;NA;NA;"23,7";;
Triticum;201130;TA3.1;Drought;2;NA;"1,3";19;NA;NA;NA;"14,2";;
Triticum;201130;TA3.2;Drought;4;NA;"2,8";36;NA;NA;NA;"14,4";;
Triticum;201130;TA3.3;Drought;4;NA;"2,5";"33,6";NA;NA;NA;"14,6";;
Triticum;201130;TA3.4;Drought;2;NA;"1,9";"17,5";NA;NA;NA;15;;
Triticum;201130;TA3.5;Drought;5;NA;"3,7";40;NA;NA;NA;"15,1";;
Triticum;201130;TA3.6;Drought;4;NA;"2,8";"37,6";NA;NA;NA;"15,4";;
Triticum;201214;TA4.1;Drought;1;NA;NA;18;"20,1";"0,28";"0,15";"16,6";;
Triticum;201214;TA4.2;Drought;3;NA;NA;36;25;"0,56";"0,24";"17,3";;
Triticum;201214;TA4.3;Drought;3;NA;NA;"32,5";"17,5";"0,59";"0,25";"17,4";;
Triticum;201214;TA4.4;Drought;1;NA;NA;"17,5";"19,3";"0,37";"0,09";"17,5";;
Triticum;201214;TA4.5;Drought;3;NA;NA;"39,7";"18,4";"0,82";"0,28";"17,8";;
Triticum;201214;TA4.6;Drought;3;NA;NA;"37,5";"22,1";"0,56";"0,2";"17,9";;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
